"","model","formula","lam(distP.v)","SElam(distP.v)","lam(distSH.v)","SElam(distSH.v)","lam(ele.s)","SElam(ele.s)","lam(Int)","SElam(Int)","p(cam_angle)","SEp(cam_angle)","p(camhours)","SEp(camhours)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"8","m008","~camhours ~ distP.v + distSH.v",-0.546111570198563,0.196404472181168,0.365942543818749,0.146421328446818,NA,NA,0.2980570237047,0.14505260557442,NA,NA,0.0687883547713054,0.0782102903908852,-4.00508363307509,0.115488089450917,0,9.45013349167735,1273.86877746178,5,115,2557.73755492356,0,0.38240898632465,NA,0.38240898632465
"5","m005","~camhours ~ ele.s + distP.v + distSH.v",-0.506793112985671,0.203379738078457,0.323834528685942,0.158598463077378,0.0857545122893712,0.118118813245923,0.293085579207873,0.145378149874731,NA,NA,0.0684299240593598,0.0781960088178162,-4.00180257940234,0.114998237183054,0,11.4798507350276,1273.60014183669,6,115,2559.20028367338,1.46272874981833,0.184035064206817,NA,0.566444050531466
"15","m015","~camhours + cam_angle ~ distP.v + distSH.v",-0.55213671445175,0.197355721234375,0.35745059585649,0.148878372936488,NA,NA,0.303399019835712,0.146040180738584,0.0905165436774999,0.265245654343141,0.0694495484913995,0.0783306166533542,-4.08505537536847,0.262654911658176,0,45.811887609394,1273.80966915604,6,115,2559.61933831207,1.88178338850776,0.14924645299314,NA,0.715690503524606
"12","m012","~camhours + cam_angle ~ ele.s + distP.v + distSH.v",-0.512330369334282,0.20507432228752,0.31993869151905,0.159633900932723,0.0814313034448325,0.119559966958601,0.29705825959727,0.146449340026095,0.061573535191977,0.267617852663769,0.068531657054638,0.0781768037710416,-4.05637412147754,0.264187022841815,0,47.9512447298751,1273.57358183009,7,115,2561.14716366019,3.40960873662425,0.0695249939007062,NA,0.785215497425312
"3","m003","~camhours ~ ele.s + distP.v",-0.424542466424139,0.187733008499434,NA,NA,0.187915317488644,0.111077310760545,0.361570562234392,0.133952434054945,NA,NA,0.0683615949529454,0.0779934889154136,-3.97199241831909,0.111817346463077,0,7.72982013322359,1275.69189139479,5,115,2561.38378278958,3.64622786601649,0.0617674636515949,NA,0.846982961076907
"6","m006","~camhours ~ distP.v",-0.462619025108719,0.181580261184543,NA,NA,NA,NA,0.389080839856177,0.131666904255272,NA,NA,0.0691230231613501,0.0779775142567604,-3.97074267347215,0.112527447742553,0,6.90132588640047,1277.16819778925,4,115,2562.33639557849,4.5988406549277,0.0383621138179495,NA,0.885345074894857
"10","m010","~camhours + cam_angle ~ ele.s + distP.v",-0.435824621229711,0.18985359314258,NA,NA,0.176315309234057,0.113658749723882,0.367680232514149,0.13480639566055,0.119937697622661,0.264217780500419,0.0683724891365537,0.077900352802566,-4.07897173413674,0.261964074845599,0,43.0273063250695,1275.58727571549,6,115,2563.17455143098,5.43699650741291,0.0252289571229699,NA,0.910574032017827
"13","m013","~camhours + cam_angle ~ distP.v",-0.481344680033613,0.1842867177513,NA,NA,NA,NA,0.397914270379975,0.132470053088648,0.212380199626767,0.258769328886591,0.0693878001660364,0.0779144880489958,-4.16162071268894,0.259487382498639,0,40.7332385011835,1276.82930685782,5,115,2563.65861371564,5.92105879207975,0.0198055318424974,NA,0.930379563860324
"4","m004","~camhours ~ ele.s + distSH.v",NA,NA,0.266928065728646,0.155880522031142,0.165643762401161,0.112621341493992,0.224358722291681,0.145378443198066,NA,NA,0.0684587033114697,0.0782264366830063,-3.97949871037077,0.113552485780431,0,8.1248679069809,1276.89316484902,5,115,2563.78632969804,6.04877477447781,0.0185803262691415,NA,0.948959890129466
"7","m007","~camhours ~ distSH.v",NA,NA,0.328404852537066,0.147304149986822,NA,NA,0.230762804955705,0.144991812175696,NA,NA,0.069651511602033,0.0783224792213187,-3.98022071544973,0.114420963671413,0,7.45922128779592,1278.02964646513,4,115,2564.05929293026,6.32173800670034,0.0162098920677979,NA,0.965169782197264
"2","m002","~camhours ~ ele.s",NA,NA,NA,NA,0.230965836862819,0.111169505030929,0.292969893385345,0.133130636954075,NA,NA,0.068446443865416,0.0780507038550151,-3.9554736434196,0.110833154032186,0,5.41774948575908,1278.34813817575,4,115,2564.6962763515,6.95872142793542,0.0117885646806611,NA,0.976958346877925
"11","m011","~camhours + cam_angle ~ ele.s + distSH.v",NA,NA,0.267995535973992,0.157318537282605,0.166267380362065,0.113301688805598,0.223732914577332,0.145861536731262,-0.0134811708951297,0.261624520640472,0.0684362254707055,0.0782328095154019,-3.96770296583599,0.254682721853572,0,44.511619028427,1276.89183358771,6,115,2565.78366717542,8.04611225185954,0.00684442570144536,NA,0.98380277257937
"14","m014","~camhours + cam_angle ~ distSH.v",NA,NA,0.325293450580509,0.149820317528558,NA,NA,0.23162582899855,0.145464687616324,0.0277110573811681,0.260739221101983,0.0692563493111283,0.0782026458431805,-4.00474886977454,0.254878911671421,0,43.087468684898,1278.02389839896,5,115,2566.04779679791,8.31024187435105,0.0059976621014022,NA,0.989800434680772
"1","m001","~1 ~ 1",NA,NA,NA,NA,NA,NA,0.319529038693277,0.131187111781608,NA,NA,NA,NA,-3.95492956931702,0.111382206035623,0,5.0600357762754,1281.05976296713,2,115,2566.11952593425,8.38197101068818,0.00578637013535025,NA,0.995586804816123
"9","m009","~camhours + cam_angle ~ ele.s",NA,NA,NA,NA,0.227151344660599,0.112739819118271,0.29454953915008,0.13333444377261,0.0491365932588718,0.258719871886074,0.0688071131078762,0.0781108576813491,-3.99881349506969,0.253913228160444,0,40.1708898779623,1278.33066918388,5,115,2566.66133836776,8.92378344420013,0.0044131951838775,NA,1
