"","model","formula","lam(disturbance.v)","SElam(disturbance.v)","lam(disturbance)","SElam(disturbance)","lam(ele.s)","SElam(ele.s)","lam(Int)","SElam(Int)","p(cam_angle)","SEp(cam_angle)","p(camhours)","SEp(camhours)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"3","m003","~camhours ~ ele.s + disturbance",NA,NA,0.605461069418307,0.0995627885574103,0.217383909216181,0.0892181001268628,0.163659693340452,0.15961223265144,NA,NA,0.0676887348468576,0.078969684083309,-4.17827038943561,0.134485260350564,0,13.1385979051416,1262.06681360732,5,115,2534.13362721464,0,0.412929571939107,NA,0.412929571939107
"5","m005","~camhours ~ ele.s + disturbance + disturbance.v",-0.14484626504479,0.156134384862819,0.602245015933049,0.0987927618147922,0.231649187017343,0.0902302806625068,0.127344204871565,0.166820886923648,NA,NA,0.0674319081405398,0.0789613942467715,-4.18113355099203,0.134644643430146,0,15.0349870882308,1261.65094376648,6,115,2535.30188753296,1.16826031831624,0.23024567505535,NA,0.643175246994457
"10","m010","~camhours + cam_angle ~ ele.s + disturbance",NA,NA,0.610470971189916,0.0999718122322541,0.223511955391238,0.0902973435831756,0.15615080294841,0.160015331025799,-0.132616030198095,0.267048037791484,0.0674529436454215,0.0790086004602689,-4.05987298689972,0.272513115338679,0,63.1924902999782,1261.94376750712,6,115,2535.88753501424,1.75390779959298,0.171798649842911,NA,0.814973896837368
"12","m012","~camhours + cam_angle ~ ele.s + disturbance + disturbance.v",-0.139691239959242,0.156885673727703,0.60637646147194,0.0992253606984979,0.236678111885261,0.0912708723693737,0.121844618339324,0.167105109186606,-0.11463416636779,0.268884697881336,0.0672303730253071,0.0789935862126988,-4.07822014603701,0.27543496748081,0,65.3628544734215,1261.56015403655,7,115,2537.12030807311,2.98668085846202,0.0927526823417446,NA,0.907726579179112
"6","m006","~camhours ~ disturbance",NA,NA,0.605943110900469,0.102332436430804,NA,NA,0.188650222390196,0.159363328543748,NA,NA,0.0696689212040278,0.0789544409398244,-4.17156252526541,0.135669899479292,0,12.4650143036349,1265.21860005469,4,115,2538.43720010938,4.30357289473113,0.0480139024362913,NA,0.955740481615404
"8","m008","~camhours ~ disturbance + disturbance.v",-0.0637537153586223,0.152326927483644,0.602683007718771,0.102298410698247,NA,NA,0.174923795911117,0.163561896138385,NA,NA,0.0696347897149818,0.07894435179466,-4.17239308672815,0.135775161020612,0,13.544806845099,1265.13202411655,5,115,2540.26404823309,6.13042101844985,0.0192606959694405,NA,0.975001177584844
"13","m013","~camhours + cam_angle ~ disturbance",NA,NA,0.607845860378834,0.103051469665254,NA,NA,0.186589569546467,0.15987958324417,-0.0402474211770622,0.260944027794908,0.0696129484929732,0.078967100147692,-4.13583944353651,0.268168006179781,0,58.1932834999609,1265.20670944838,5,115,2540.41341889677,6.27979168212323,0.0178746089133159,NA,0.99287578649816
"15","m015","~camhours + cam_angle ~ disturbance + disturbance.v",-0.0619959687016142,0.153539428439184,0.603995578005577,0.103129124665963,NA,NA,0.173921589263701,0.163807073607223,-0.0273290782352282,0.263081166253226,0.0696055211841337,0.0789561370708432,-4.14809546298607,0.27061177310085,0,60.3640077242501,1265.12662809721,6,115,2542.25325619442,8.11962897977492,0.00712395152214376,NA,0.999999738020304
"2","m002","~camhours ~ ele.s",NA,NA,NA,NA,0.230965836862819,0.111169505030929,0.292969893385345,0.133130636954075,NA,NA,0.068446443865416,0.0780507038550151,-3.9554736434196,0.110833154032186,0,5.41774948575908,1278.34813817575,4,115,2564.6962763515,30.5626491368553,9.53412956972294e-08,NA,0.9999998333616
"4","m004","~camhours ~ ele.s + disturbance.v",-0.11262058635592,0.136823912633241,NA,NA,0.240465628910336,0.111330286898497,0.262695164167847,0.139885924029179,NA,NA,0.0682050447073669,0.0780249200831533,-3.95794238270563,0.110990992100616,0,6.50468087168775,1278.01975817406,5,115,2566.03951634813,31.9058891334857,4.8707988018011e-08,NA,0.999999882069588
"1","m001","~1 ~ 1",NA,NA,NA,NA,NA,NA,0.319529038693277,0.131187111781608,NA,NA,NA,NA,-3.95492956931702,0.111382206035623,0,5.0600357762754,1281.05976296713,2,115,2566.11952593425,31.985898719608,4.67978961843475e-08,NA,0.999999928867484
"9","m009","~camhours + cam_angle ~ ele.s",NA,NA,NA,NA,0.227151344660599,0.112739819118271,0.29454953915008,0.13333444377261,0.0491365932588718,0.258719871886074,0.0688071131078762,0.0781108576813491,-3.99881349506969,0.253913228160444,0,40.1708898779623,1278.33066918388,5,115,2566.66133836776,32.52771115312,3.5692194800093e-08,NA,0.999999964559679
"11","m011","~camhours + cam_angle ~ ele.s + disturbance.v",-0.113816292330919,0.13694385196095,NA,NA,0.23592927082824,0.112847966344928,0.264427636742395,0.140000282966715,0.0583520205349976,0.259873349114693,0.0683705437842998,0.0780243243185679,-4.00967771658457,0.255521055143311,0,41.4385021519745,1277.99446988652,6,115,2567.98893977304,33.8553125583912,1.8377577901093e-08,NA,0.999999982937256
"7","m007","~camhours ~ disturbance.v",-0.076340753010855,0.135435280535856,NA,NA,NA,NA,0.300485484664547,0.136679688397955,NA,NA,0.0695328186417385,0.078035819542505,-3.95186357987907,0.111663323306434,0,5.9159488101511,1280.43046504328,4,115,2568.86093008656,34.727302871916,1.18833251842344e-08,NA,0.999999994820582
"14","m014","~camhours + cam_angle ~ disturbance.v",-0.082478558804061,0.135814769759865,NA,NA,NA,NA,0.302173335944372,0.136813946276068,0.148605243366411,0.255995507261753,0.0697687392150147,0.0779930881519349,-4.08381347189527,0.2541982232663,0,39.6874611586969,1280.26090845216,5,115,2570.52181690433,36.3881896896851,5.17941835635444e-09,NA,1
