"","model","formula","lam(ele.s)","SElam(ele.s)","lam(index)","SElam(index)","lam(Int)","SElam(Int)","lam(pop)","SElam(pop)","lam(popP)","SElam(popP)","lam(popSH)","SElam(popSH)","lam(size)","SElam(size)","p(cam_angle)","SEp(cam_angle)","p(camhours)","SEp(camhours)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"8","m008","~camhours + cam_angle ~ ele.s + size + popP",0.280250204501496,0.12426212253469,NA,NA,-2.05951980164912,0.446650986060434,NA,NA,0.148327735551115,0.0262696219547818,NA,NA,0.317676179844079,0.044452587512585,0.212469021752822,0.261364682766167,0.0654747595649645,0.078809414751714,-4.50295614850901,0.288757871242418,0,2843.18786119259,1245.93143251546,7,115,2505.86286503093,0,0.999725159553187,NA,0.999725159553187
"7","m007","~camhours + cam_angle ~ ele.s + size + pop",0.38193823614249,0.137408271523512,NA,NA,-1.77405238819336,0.455287692468917,0.0288088253654672,0.00688673386762645,NA,NA,NA,NA,0.253738023491884,0.0389053337965125,0.0486404703098331,0.266099214011025,0.0671621240809927,0.0789312724286952,-4.31826921741736,0.290765328634252,0,50045.127484218,1254.13777293923,7,115,2522.27554587846,16.4126808475289,0.000272842650159883,NA,0.999998002203347
"11","m011","~camhours + cam_angle ~ ele.s + size + index",0.0158469858513906,0.115360107240218,-0.268615533385979,0.0966768548877971,-0.196775207259721,0.21036347367471,NA,NA,NA,NA,NA,NA,0.142240685285138,0.0271640985740139,-0.0159703238761881,0.270043998695511,0.0685143089316965,0.0787893832554196,-4.17226798525731,0.282707457710611,0,950.566755869543,1259.15977427564,7,115,2532.31954855128,26.4566835203559,1.7983937754727e-06,NA,0.999999800597123
"6","m006","~camhours + cam_angle ~ ele.s + size",0.0583402381590121,0.116292649463472,NA,NA,-0.307225485234138,0.204804680362938,NA,NA,NA,NA,NA,NA,0.151791829248338,0.0267637587545773,-0.0124376088119577,0.269713495690084,0.0677923582367391,0.0785911949319235,-4.10317531453097,0.273757713883568,0,864.872518929374,1262.80430144524,6,115,2537.60860289047,31.7457378595423,1.2775597882318e-07,NA,0.999999928353101
"9","m009","~camhours + cam_angle ~ ele.s + size + popSH",0.124305911335166,0.136672707413421,NA,NA,-0.608171438049763,0.394854298508063,NA,NA,NA,NA,0.0262714382679962,0.0284181490367001,0.169337425546311,0.0331946236693987,-0.0331389762774718,0.270173806433598,0.0675110068276608,0.0785564298144753,-4.10644530997147,0.274818411686164,0,2153.37468276673,1262.38278779779,7,115,2538.76557559558,32.9027105646487,7.16387175986799e-08,NA,0.999999999991819
"10","m010","~camhours + cam_angle ~ ele.s + index",0.239103510751698,0.107718072747242,-0.314518029520635,0.0886489071419499,0.365753684905496,0.140404036286331,NA,NA,NA,NA,NA,NA,NA,NA,0.025601747256882,0.26163902613708,0.0702446082777134,0.0784801937805516,-4.07001806518887,0.26378553329224,0,45.5507556136419,1272.52073986844,6,115,2557.04147973687,51.1786147059443,7.70168306414805e-12,NA,0.999999999999521
"5","m005","~camhours + cam_angle ~ ele.s + popSH",0.0625260322776745,0.13557055274706,NA,NA,0.748579093867518,0.233420415733982,NA,NA,NA,NA,-0.0521765704538739,0.0242520123798559,NA,NA,0.0757195793515219,0.263103844401824,0.0676373838395876,0.0779239059322329,-4.01418180935051,0.257893217667336,0,1074.44350691409,1275.84453289481,6,115,2563.68906578962,57.8262007586936,2.77383531101306e-13,NA,0.999999999999798
"1","m001","~1 ~ 1",NA,NA,NA,NA,0.319529038693277,0.131187111781608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.95492956931702,0.111382206035623,0,5.0600357762754,1281.05976296713,2,115,2566.11952593425,60.2566609033242,8.22835381359352e-14,NA,0.99999999999988
"2","m002","~camhours + cam_angle ~ ele.s",0.227151344660599,0.112739819118271,NA,NA,0.29454953915008,0.13333444377261,NA,NA,NA,NA,NA,NA,NA,NA,0.0491365932588718,0.258719871886074,0.0688071131078762,0.0781108576813491,-3.99881349506969,0.253913228160444,0,40.1708898779623,1278.33066918388,5,115,2566.66133836776,60.7984733368362,6.27566688130518e-14,NA,0.999999999999943
"4","m004","~camhours + cam_angle ~ ele.s + popP",0.241336792521143,0.114598851611293,NA,NA,0.17801550098364,0.193030576662099,NA,NA,0.0169496460746229,0.0193851222652457,NA,NA,NA,NA,0.0865405466700976,0.262340170731671,0.0685137661981283,0.0780005444328768,-4.03149202876751,0.257438309312534,0,1029.4269765597,1277.95773943572,6,115,2567.91547887143,62.0526138405062,3.35217538398121e-14,NA,0.999999999999977
"3","m003","~camhours + cam_angle ~ ele.s + pop",0.213260702687801,0.139443613394507,NA,NA,0.327915134175383,0.241779496471606,-0.000920962591002312,0.00555509243456354,NA,NA,NA,NA,NA,NA,0.0468170297172536,0.259022731605074,0.0685594508551176,0.0780438123852315,-3.99518072118144,0.254410691763481,0,21295.5739287645,1278.31784560386,6,115,2568.63569120772,62.7728261767888,2.33848512044321e-14,NA,1
